run_id,scenario,intensity,run,flowId,role,src,dst,dst_port,tx,rx,lost,rx_bytes,t_first_tx,t_last_rx,throughput_mbps,owd_ms,pdv_ms
normal_i0.0_r1,normal,0.0,1,1,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5589474800061249,0.34791306326809285,0.043497360036413295
normal_i0.0_r1,normal,0.0,1,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
normal_i0.0_r2,normal,0.0,2,1,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5588375568344409,0.33812243969048705,0.03441834319526627
normal_i0.0_r2,normal,0.0,2,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
normal_i0.0_r3,normal,0.0,3,1,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5587444521695925,0.33264269458352297,0.031473236231224395
normal_i0.0_r3,normal,0.0,3,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
normal_i0.0_r4,normal,0.0,4,1,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5588829689509462,0.3451779699590351,0.045336595357305415
normal_i0.0_r4,normal,0.0,4,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
normal_i0.0_r5,normal,0.0,5,1,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5588447959527348,0.343016385980883,0.042887847064178426
normal_i0.0_r5,normal,0.0,5,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
normal_i0.0_r6,normal,0.0,6,1,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.558599428631293,0.33833318161128817,0.04483418297678653
normal_i0.0_r6,normal,0.0,6,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
normal_i0.0_r7,normal,0.0,7,1,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5588948168038723,0.33950842057350933,0.03459918070095584
normal_i0.0_r7,normal,0.0,7,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
normal_i0.0_r8,normal,0.0,8,1,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5588191308341331,0.342279016841147,0.0429659080564406
normal_i0.0_r8,normal,0.0,8,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
