run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,monitor_owd_ms,monitor_pdv_ms,victim_startup_lag_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary,e2e_delay_mean_ms,e2e_delay_median_ms,e2e_delay_p95_ms,e2e_delivered_n
normal_i0.0_r1,normal,0.0,1,3,12.576455115582018,12.440655939310606,21554,0.9150498832519636,0.9969488939740656,0.0178306092124814,10.520045906656463,4.095960214231064,5.599999999999827,6.7480204745782375,1.5629262782416538,0.0599124873779872,normal,normal,10.5201,1.6457,62.4519,1307.0
normal_i0.0_r2,normal,0.0,2,4,13.571222102030438,13.43449940280497,26647,0.931127262562024,0.9755892255892256,0.0311342511705919,15.48783433994823,7.273416738567731,12.310000000000263,12.935207616374717,8.196313382971292,0.0486656791345627,normal,normal,15.3942,5.80098,74.2678,1153.0
normal_i0.0_r3,normal,0.0,3,4,10.437429114285845,10.286112781388107,17441,0.8865900772671818,0.9984387197501952,0.005286701911346,4.600523846755277,2.744519155590305,13.129999999999864,4.2484266315917445,1.823782242714932,0.0570252222782444,normal,normal,4.58744,1.10445,19.4633,1277.0
normal_i0.0_r4,normal,0.0,4,5,13.953050961272517,13.79006400306042,29921,0.9152392022513152,0.9102861562258314,0.1233635140095436,41.53483432455395,8.64358538657604,12.270000000000003,95.36979578067584,13.13022766170837,0.04189795966267,normal,normal,41.5348,8.3176,203.611,1177.0
normal_i0.0_r5,normal,0.0,5,7,10.618636377588508,10.402789074207114,18170,0.8422174840085288,0.991108476585655,0.0139056271437841,4.168755980861245,2.1045454545454545,2.589999999999648,7.946735646394666,4.485595442636896,0.0424592910434269,normal,normal,4.16837,0.909347,16.4562,1671.0
normal_i0.0_r6,normal,0.0,6,3,10.049534675121713,9.9282918577592,18613,0.9055658266030944,1.0,0.000778437287146,1.9088945827232795,1.4940702781844803,13.049999999999784,2.4491941093528493,0.6928828119839542,0.0441119501089144,normal,normal,1.9089,0.892786,6.85779,1366.0
normal_i0.0_r7,normal,0.0,7,6,10.986573493675916,10.823996441518467,17015,0.8692653519975477,0.9984996249062266,0.0850618166956166,2.7959278737791133,2.534913598797897,5.750000000000366,5.60531066377009,3.82575084611401,0.0505051451034098,normal,normal,2.79593,0.716252,10.9487,1331.0
normal_i0.0_r8,normal,0.0,8,4,12.66385628655292,12.522062383333068,22656,0.922137653140136,0.9657039711191336,0.0820139199804631,15.79644859813084,5.614514018691589,8.150000000000102,34.40376022331909,19.0691729425345,0.0584526897623245,normal,normal,15.7965,0.231739,97.8958,1070.0
normal_i0.0_r9,normal,0.0,9,7,9.77350817220348,9.552043413968846,17849,0.8247389335551243,0.9971181556195964,0.001062748359671,2.4679768786127165,1.6183121387283237,53.85000000000018,11.761992117596767,6.355226941910738,0.049436556572137,normal,normal,2.46798,0.680084,8.71254,1730.0
normal_i0.0_r10,normal,0.0,10,6,12.179674848475743,12.01900958023644,27507,0.9043298155636652,0.8775362318840579,0.1564914357102935,18.785383980181667,6.013435177539223,14.07999999999987,28.36470206108505,14.357825686577812,0.0682902285505856,normal,normal,18.7909,1.65275,102.32,1208.0
