run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,monitor_owd_ms,monitor_pdv_ms,victim_startup_lag_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary,e2e_delay_mean_ms,e2e_delay_median_ms,e2e_delay_p95_ms,e2e_delivered_n
mitm_i1.0_r1,mitm,1.0,1,4,12.57678438841162,12.369313823575911,21554,0.867503823553087,0.954233409610984,0.0245914835385977,32.475671886967575,11.095556626735792,11.22000000000023,10.90439433226182,2.932761698701755,0.0599124873779872,mitm,attack,33.4174,12.704,132.213,1251.0
mitm_i1.0_r2,mitm,1.0,2,5,12.880664055424118,12.676346246532376,26647,0.8966317843803627,0.8569023569023569,0.0837847841448231,53.14869782605204,18.06690963207229,31.83999999999987,31.65333976784977,12.362081802682429,0.0486656791345627,mitm,attack,53.4589,33.0743,174.946,1018.0
mitm_i1.0_r3,mitm,1.0,3,5,9.998646959068614,9.772941275418662,17441,0.8340985174557628,0.9539422326307572,0.0492109038737446,24.390667593843617,10.056767818851483,31.750000000000167,8.750480278355342,3.387140453527676,0.0570252222782444,mitm,attack,25.4106,9.13089,96.6387,1222.0
mitm_i1.0_r4,mitm,1.0,4,6,12.23307876246462,12.01513493024179,29921,0.8857083654016932,0.7664346481051817,0.2247646675744479,62.6093585387756,15.301540025365908,26.980000000000004,22.181601115597196,7.029662863692805,0.04189795966267,mitm,attack,64.199,17.4681,257.913,991.0
mitm_i1.0_r5,mitm,1.0,5,8,10.649296741428785,10.33719350360732,18170,0.7815726083964212,0.98814463544754,0.0117429456297315,18.951022519510435,7.321052097824163,5.25999999999982,7.402981191779229,4.632183281958075,0.0424592910434269,mitm,attack,19.9391,8.06489,78.6476,1667.0
mitm_i1.0_r6,mitm,1.0,6,4,10.014083913666,9.818700342311642,18613,0.8499474861865839,0.9758418740849196,0.0116443673227088,12.364340719008748,7.237201147870611,28.979999999999784,5.274782749215512,1.972452100354636,0.0441119501089144,mitm,attack,13.3738,6.60951,48.7578,1333.0
mitm_i1.0_r7,mitm,1.0,7,7,11.306147633913126,11.0605412710198,17015,0.8144655593317697,0.978244561140285,0.0150782633670001,21.99160599242562,9.909048031639111,19.90000000000025,7.825385494541409,4.979382537049089,0.0505051451034098,mitm,attack,22.8574,9.19578,94.2832,1304.0
mitm_i1.0_r8,mitm,1.0,8,5,12.02267343696469,11.80959226533346,22656,0.885,0.9106498194945848,0.1260546875,42.07390363546702,10.65928068335514,22.880000000000237,28.35939077504672,12.170282842839123,0.0584526897623245,mitm,attack,41.7171,2.07554,236.585,1009.0
mitm_i1.0_r9,mitm,1.0,9,8,9.72398081294419,9.406589066065765,17849,0.7644766146993318,0.9780979827089336,0.0149049169093712,20.423625203016705,7.145111343996474,184.49000000000024,7.396474047698596,4.165887324448942,0.049436556572137,mitm,attack,21.3284,6.17063,95.7213,1697.0
mitm_i1.0_r10,mitm,1.0,10,7,10.990519695493944,10.768557362716871,27507,0.8699516113729087,0.7681159420289855,0.2315696258578702,43.001641289674446,12.953632279534112,30.380000000000077,18.6104963586278,10.698072829137413,0.0682902285505856,mitm,attack,41.893,2.89493,185.304,1060.0
mitm_i2.0_r1,mitm,2.0,1,4,12.327840744482062,12.124258511231035,21554,0.8685175484546883,0.9252479023646072,0.0427126566466535,34.12784938130632,11.42400711781898,12.16000000000017,11.604480313469548,3.022769213409678,0.0599124873779872,mitm,attack,36.2142,13.1377,141.615,1213.0
mitm_i2.0_r2,mitm,2.0,2,5,12.706303647386653,12.500879847962274,26647,0.8970241702013061,0.8720538720538721,0.0950649700397226,48.69457117306382,17.338579164774018,33.10000000000013,19.003179698569767,9.081422206828677,0.0486656791345627,mitm,attack,49.8384,30.1977,177.59,1036.0
mitm_i2.0_r3,mitm,2.0,3,5,10.18214020647446,9.956465131931813,17441,0.8342182044291385,0.9531615925058547,0.0344860573013823,24.70354948986528,10.709375231691022,33.79999999999983,8.595668635962301,3.391105209922496,0.0570252222782444,mitm,attack,26.6848,12.2501,105.467,1221.0
mitm_i2.0_r4,mitm,2.0,4,6,11.50082506719002,11.263904405461252,29921,0.887889848363453,0.7076566125290024,0.285705807293985,88.63203368768347,18.26814594016746,28.64999999999984,24.34945533526046,5.784890012152277,0.04189795966267,mitm,attack,89.4662,13.4365,429.34,915.0
mitm_i2.0_r5,mitm,2.0,5,8,10.608747031803532,10.3009932252983,18170,0.781774373978143,0.97628927089508,0.0182858618019103,18.32842798984856,7.264351775410272,5.889999999999951,6.843395776486921,4.217763182490844,0.0424592910434269,mitm,attack,20.1693,9.42303,79.7047,1647.0
mitm_i2.0_r6,mitm,2.0,6,4,10.092424212889876,9.894699201806528,18613,0.849365702290773,0.9956076134699854,0.0039700647987587,13.94329411764706,6.925926470588236,29.29000000000004,5.33989292289331,1.8919756280075168,0.0441119501089144,mitm,attack,15.9322,7.35286,60.0001,1360.0
mitm_i2.0_r7,mitm,2.0,7,7,11.14737744582757,10.903610633803588,17015,0.8146215349260305,0.9692423105776444,0.0291568918466031,22.35825402795102,10.468083466360447,20.6000000000004,7.936118386880679,4.823161203285819,0.0505051451034098,mitm,attack,24.2442,10.4659,93.8601,1292.0
mitm_i2.0_r8,mitm,2.0,8,5,12.475787062653072,12.261943554463754,22656,0.8841365853658537,0.901624548736462,0.0975609756097561,33.94658237783238,10.523560833560834,23.800000000000043,24.06540304498628,10.759070195053932,0.0584526897623245,mitm,attack,34.605,3.39853,173.981,999.0
mitm_i2.0_r9,mitm,2.0,9,8,9.653423896899398,9.339594163626291,17849,0.7647058823529411,0.94178674351585,0.0240778030075832,20.3411386062649,7.8934860775616436,287.02000000000004,15.657438154579827,8.24447857881625,0.049436556572137,mitm,attack,21.8265,7.59321,84.6709,1634.0
mitm_i2.0_r10,mitm,2.0,10,7,11.340114489947725,11.120117094719888,27507,0.8706951126867561,0.7746376811594203,0.2108128640162066,49.908503552733706,10.733861186632964,31.30999999999995,17.255210326059302,9.20384752079732,0.0682902285505856,mitm,attack,51.6087,3.82604,239.913,1069.0
mitm_i5.0_r1,mitm,5.0,1,4,12.22819521906704,12.026209011832645,21554,0.8686225517852825,0.9069412662090008,0.0497299911340372,22.642966737054188,10.961617688220924,15.730000000000022,8.692650988636895,2.905649994895462,0.0599124873779872,mitm,attack,27.1711,13.3755,97.6195,1189.0
mitm_i5.0_r2,mitm,5.0,2,5,12.952635963702232,12.746837461714172,26647,0.8963301826499378,0.8526936026936027,0.0792155807460728,57.31338219705485,18.15188077050548,37.94000000000031,20.734696468891094,10.515806213734312,0.0486656791345627,mitm,attack,60.607,37.7655,189.374,1013.0
mitm_i5.0_r3,mitm,5.0,3,5,10.091307624457588,9.86618409039432,17441,0.8339788648209248,0.9437939110070258,0.0417921866781427,26.258714089667272,11.012518153867482,36.0999999999998,9.171159199962988,3.5413055275495706,0.0570252222782444,mitm,attack,31.1836,14.4404,119.03,1209.0
mitm_i5.0_r4,mitm,5.0,4,6,12.503057993172524,12.29261071060762,29921,0.8859968612122827,0.6976024748646559,0.2125788398329928,57.149452046631,15.531219060105338,32.41000000000005,22.673865581730794,7.348265137856452,0.04189795966267,mitm,attack,53.0215,15.5285,203.718,902.0
mitm_i5.0_r5,mitm,5.0,5,8,10.6759967136601,10.3665963941603,18170,0.7819089422497634,0.966212211025489,0.0112746363714605,16.74019872286456,7.426943797192072,10.219999999999896,6.398135865852873,4.212805131617367,0.0424592910434269,mitm,attack,21.0894,12.0195,74.4164,1630.0
mitm_i5.0_r6,mitm,5.0,6,4,10.05814423502114,9.861293944911887,18613,0.8495207667731629,0.986822840409956,0.0073482428115015,13.612453804609473,7.4222752816365105,31.019999999999825,5.368080424622861,2.0201451604199563,0.0441119501089144,mitm,attack,18.5748,11.3468,60.1176,1348.0
mitm_i5.0_r7,mitm,5.0,7,7,11.29478301532512,11.050348388573488,17015,0.8148946360153256,0.9759939984996248,0.0184386973180076,23.043525865955388,10.083530715564535,23.74000000000009,8.63413226071269,5.4484307422208005,0.0505051451034098,mitm,attack,28.039,13.0328,101.215,1301.0
