d,run,n,mean,median,p95,held,forwarded,stranded
0,4,1129,55.0946,11.5821,253.5,1263,1263,0
0,2,1155,42.2987,22.5635,158.067,1249,1249,0
0,3,1459,29.8647,8.71251,119.797,1476,1476,0
0,1,1506,21.5084,6.99008,89.3085,1518,1518,0
0,8,1159,36.4403,1.03144,209.331,1187,1187,0
0,7,1511,26.4307,8.1862,107.104,1538,1538,0
0,6,1623,12.2733,4.42207,49.8672,1631,1631,0
0,5,1996,18.5564,6.12952,82.0879,2020,2020,0
0,10,1277,56.5792,2.62219,313.533,1455,1455,0
1,1,1501,29.157,13.6834,113.969,1525,1525,0
0,9,2053,20.3761,5.8874,87.8705,2071,2071,0
1,2,1163,47.2759,30.7173,149.612,1243,1243,0
1,3,1443,28.2914,10.461,119.058,1466,1466,0
1,4,1112,69.6331,12.7967,289.033,1275,1275,0
1,6,1623,17.0199,6.9761,73.7521,1629,1629,0
1,5,1996,23.7681,8.9327,97.9683,2036,2036,0
1,8,1109,31.0134,2.09237,170.309,1171,1171,0
1,7,1491,33.3316,11.6843,134.832,1527,1527,0
1,10,1371,52.6436,5.61361,238.475,1477,1477,0
5,1,1495,35.8961,19.1576,126.939,1519,1519,0
5,2,1161,63.4354,40.4887,186.408,1253,1253,0
1,9,2016,20.0202,7.16144,82.0884,2052,2052,0
5,4,1173,72.1115,27.2591,285.615,1284,1284,0
5,3,1424,26.6993,13.4749,93.628,1471,1471,0
5,6,1612,19.6226,11.7578,63.5415,1631,1631,0
5,5,1950,32.5891,13.3069,123.488,1990,1990,0
5,8,1161,34.2946,7.25194,176.688,1226,1226,0
5,7,1513,36.433,16.0915,139.735,1530,1530,0
5,10,1202,41.0945,8.36928,158.89,1354,1354,0
20,1,1482,51.2278,33.2341,147.893,1523,1523,0
20,2,1135,77.3939,56.1266,214.216,1294,1294,0
5,9,2001,25.04,11.4558,91.417,2072,2072,0
20,3,1409,49.5343,31.3658,144.483,1459,1459,0
20,4,1112,98.4861,37.4211,397.29,1315,1315,0
20,6,1613,37.0344,28.4449,101.443,1634,1634,0
20,5,1981,41.7556,30.5482,110.191,2012,2012,0
20,8,1147,53.8156,26.016,186.299,1188,1188,0
20,7,1448,39.7566,30.5871,93.0396,1522,1522,0
20,10,1149,61.0617,27.7628,218.766,1406,1406,0
20,9,1973,37.7706,29.1368,91.4794,2054,2054,0
